id	tweet	label
80	how ravann made me tell him my old tweets when we were an US #memories #ihatehim #why #would #he #want #to #see #them #exboyfriend :(	sadness
81	Just realised that my 100th tweet on this account was about chemistry ..	sadness
82	One shall alway share the goods so it can continue coming back . #saynotogreed #winning	joy
83	Letsel 1 Van Blommesteynweg ROTTDM voetganger / auto - Van Blommesteynweg 42-44 , 3082 WE Rotterdam , Netherlands	fear
84	is knowing your worth and loving yourself despite what anyone else says or thinks .	trust
85	feel so sorry for Hayes like I thought she was well in with them both then the other two got together	trust
86	- . #	sadness
87	You're in gr 7 .. Why do you have a million hickeys on your neck	disgust
88	""" Lal Bahadur Shastri "" jayanti Jai Jawan Jai kisan"	joy
89	"La felicit quando un uggioso sabato sera guardi "" i piccoli ninja "" e capisci perch da piccola lo amavi"	joy
90	When people steal you're money <<<<	sadness
91	#GOD ! ! Fear as in respect , honor , reverence God ..	fear
92	Knowing that we only have 2days of school this week ? ?	joy
93	I don \ ' t know what is this but as soon as night hits i feel depressed night demon	sadness
94	ugh ! i wanna cryy :( sana pla nung nag mall kme and nagpunta sa penshoppe nung 23 bumilii na ko , di ko alam eh :/ #hinayangFRE !	sadness
95	Indian old lady , puts her hand in her sari , and scratches like she never scratched before .	disgust
96	Wish I wasn't completely skint ! Totally want to go to <USER> on saturday ! #someonegivememoney	sadness
97	<USER> omg of all the things to troll cretin	disgust
98	<USER> <USER> and you have no respect for the lives that are protecting your sorry ass's clean water	sadness
99	Morning guys weekand #roti bakar an nescaffe #tersenyum	joy
